33F7CXYXMRWM6OGXJM3U4NTB64	JEAN's the name. <br> <br/> I was born and raised in CALI.
352KZTL2XVTFO626PTTZNTRZTM	ronus has made a deliberate foray into immigration consulting for four countries i.e. Canada, Australia, New Zealand, and UK, and various business and student related visas for these countries as well as USA and a few other selected countries.
3ND2QV6FVJEBQUZTKBT66LBNG4	Male, 35. Seperated , 3 boys. New York.
3CYH7AMEGPY7CPBPG4IH57R2NU	38yo male living in Brisbane, Australia.
3YKUNSG26KENFN6QVD7NYZJX7I	I am married and have 2 kids, a boy 9 and girl 6. <br> <br/> We live in Hammond, La.
3CH2H7KF53Q4DL7PW624D3CIPA	I am 19 and I currently live in West Lafayette, Indiana..attending Purdue University. I am originally from Franklin, Indiana. I am engaged and I plan to be married next year.
3I3T4QNM6WSGJNALFRPYY7QXFQ	Hi, I'm Heather and I am 28. I live in California, but lived in Ireland for a few years. I would love to live in Italy someday. I love to travel (obviously) friends and family , movies , going out, hiking the beach and pool and reading. I like Yahoo Q &A 's when I am bored or when I NEED to know the answer to something.
3S7INJCABRZR3Z426DSE6SKK5E	Messianic Jew <br> <br/> <br> <br/> <br> <br/> For Zion’s sake, I will not keep still. <br> <br/> For Jerusalem's sake, I cannot remain silent. <br> <br/> I will not stop praying for her until her righteousness shines like the dawn, <br> <br/> and her salvation blazes like a burning torch. –Isaiah 62:1
36U2WABHIP7YHOH6P3WDAQ6FZI	My name is Laura...Im 22 years old Im from Chicago and lived here my whole life.... I love living here and love to help others in any way shape or form! I am currently going to school to become a Nurse and Love to cook....Im a huge Cubs & Bears fan...(NOOOOT a White sox fan lol !!!).....
3LHL5GEVL6METZ2GZLT7ZMSUVE	Uhh Hihi Im Natalie and I'm 14 theres nothing <br> <br/> intresting about <br> <br/> me.I'm kinda <br> <br/> abnormal <br> <br/> and I wannna <br> <br/> be a fireman <br> <br/> when I grow up <br> <br/> <br> <br/> also Nina loves australia I swear on my life I would name a band that <br> <br/> <br> <br/> also again Vampire Weekend is the only thing that makes sense to me anymore
3ZDOBA2ZVZXCP5FWZZPXAK244I	Black Barbie aka Miss Hollywood Glam <br> <br/> I live in NYC <br> <br/> I'm a dancer <br> <br/> I love M.A.C <br> <br/> I'm very outgoing <br> <br/> I'm very intelligent &ambitious <br> <br/> I love fashion & makeup <br> <br/> I love music <br> <br/> I love a good book <br> <br/> I love candy <br> <br/> I love cotton candy <br> <br/> I love video games <br> <br/> I love scents of vanilla, berries or powder. <br> <br/> I love beauty products I overstock on them. <br> <br/> The look I go for with makeup is a dramatic eye and a nude lip. <br> <br/> My makeup drawer is insane but I only wear a few colors so most of it just sits there oh well its fun to have :-)
